stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,vehicle_type,platform_code,level_id,mta_stop_id,regional_fare_card,tts_stop_name
3901,"Prekybos st.",54.650485,25.150651,,,3901,"https://www.visimarsrutai.lt/#/stop/result?stopId=3901",,,,,,,,,,
3904,"1-asis Šumskas",54.608119,25.719666,,,3904,"https://www.visimarsrutai.lt/#/stop/result?stopId=3904",,,,,,,,,,
3908,Raudondvaris,54.826606,25.275642,,,3908,"https://www.visimarsrutai.lt/#/stop/result?stopId=3908",,,,,,,,,,
3911,"Keturiasdešimt Totorių",54.559982,25.160175,,,3911,"https://www.visimarsrutai.lt/#/stop/result?stopId=3911",,,,,,,,,,
3912,"2-osios Kabiškės",54.867217,25.462498,,,3912,"https://www.visimarsrutai.lt/#/stop/result?stopId=3912",,,,,,,,,,
3916,Pauliukonys,54.973338,25.498864,,,3916,"https://www.visimarsrutai.lt/#/stop/result?stopId=3916",,,,,,,,,,
3917,Arklėnai,54.554980,25.501863,,,3917,"https://www.visimarsrutai.lt/#/stop/result?stopId=3917",,,,,,,,,,
3923,"1-ieji Vyžulionys",54.937363,25.293719,,,3923,"https://www.visimarsrutai.lt/#/stop/result?stopId=3923",,,,,,,,,,
3924,Molynės,54.561481,25.168571,,,3924,"https://www.visimarsrutai.lt/#/stop/result?stopId=3924",,,,,,,,,,
3926,Lukšinė,54.569389,25.509356,,,3926,"https://www.visimarsrutai.lt/#/stop/result?stopId=3926",,,,,,,,,,
3938,Prūdiškės,54.549803,25.282167,,,3938,"https://www.visimarsrutai.lt/#/stop/result?stopId=3938",,,,,,,,,,
3939,Bukiškės,54.763085,25.198532,,,3939,"https://www.visimarsrutai.lt/#/stop/result?stopId=3939",,,,,,,,,,
3952,Užukėnė,54.583671,25.511920,,,3952,"https://www.visimarsrutai.lt/#/stop/result?stopId=3952",,,,,,,,,,
3956,Gaukeliškis,55.010873,25.382563,,,3956,"https://www.visimarsrutai.lt/#/stop/result?stopId=3956",,,,,,,,,,
3959,Rukainiai,54.615360,25.499038,,,3959,"https://www.visimarsrutai.lt/#/stop/result?stopId=3959",,,,,,,,,,
3960,Pasvirė,54.599966,25.567075,,,3960,"https://www.visimarsrutai.lt/#/stop/result?stopId=3960",,,,,,,,,,
3962,Balėnai,54.861459,25.660440,,,3962,"https://www.visimarsrutai.lt/#/stop/result?stopId=3962",,,,,,,,,,
3963,Lauryniškės,54.800210,25.111710,,,3963,"https://www.visimarsrutai.lt/#/stop/result?stopId=3963",,,,,,,,,,
3964,"2-oji Nemenčinė",54.834729,25.484521,,,3964,"https://www.visimarsrutai.lt/#/stop/result?stopId=3964",,,,,,,,,,
3967,"Miškų urėdija",54.837412,25.473358,,,3967,"https://www.visimarsrutai.lt/#/stop/result?stopId=3967",,,,,,,,,,
3970,Minkeliai,54.949069,25.490031,,,3970,"https://www.visimarsrutai.lt/#/stop/result?stopId=3970",,,,,,,,,,
3978,Varkalabiškės,54.547838,25.500919,,,3978,"https://www.visimarsrutai.lt/#/stop/result?stopId=3978",,,,,,,,,,
3979,"1-oji Žalioji",54.551253,25.379933,,,3979,"https://www.visimarsrutai.lt/#/stop/result?stopId=3979",,,,,,,,,,
3980,Bendorėliai,54.789813,25.195204,,,3980,"https://www.visimarsrutai.lt/#/stop/result?stopId=3980",,,,,,,,,,
3982,Ragūnai,54.892882,25.473884,,,3982,"https://www.visimarsrutai.lt/#/stop/result?stopId=3982",,,,,,,,,,
3989,Šiaudinė,54.569415,25.266202,,,3989,"https://www.visimarsrutai.lt/#/stop/result?stopId=3989",,,,,,,,,,
3990,"3-osios Kabiškės",54.876282,25.453900,,,3990,"https://www.visimarsrutai.lt/#/stop/result?stopId=3990",,,,,,,,,,
3991,Aleksandriškės,54.924129,25.484463,,,3991,"https://www.visimarsrutai.lt/#/stop/result?stopId=3991",,,,,,,,,,
4000,"Mažoji Riešė",54.804766,25.199549,,,4000,"https://www.visimarsrutai.lt/#/stop/result?stopId=4000",,,,,,,,,,
4012,Krikščioniškės,54.880988,25.465357,,,4012,"https://www.visimarsrutai.lt/#/stop/result?stopId=4012",,,,,,,,,,
4013,Skynimai,54.750801,25.667301,,,4013,"https://www.visimarsrutai.lt/#/stop/result?stopId=4013",,,,,,,,,,
